,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18,0.2762627124786377,0.06622125858964104,0.0009999752044677734,5.091227651611e-07,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",0.8653846153846154,0.8176795580110497,0.8440111420612814,0.8235294117647058,0.8084507042253521,0.8319421257651641,0.02048657166465235,148,0.9099790648988136,0.9407665505226481,0.9346314325452016,0.8715277777777778,0.9181692094313454,0.9150148070351574,0.024390141270684985
19,0.294266939163208,0.06192817877764421,0.0012000560760498046,0.00040001873464717136,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",0.8791208791208791,0.8342541436464088,0.841225626740947,0.8935574229691877,0.828169014084507,0.8553144129104062,0.02607539473458604,121,0.928122819260293,0.9623693379790941,0.9464534075104312,0.91875,0.9237170596393898,0.9358825248778416,0.016217458569834673
20,0.3284748554229736,0.08812364711256922,0.0010001659393310547,7.231593555499601e-07,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",0.9065934065934066,0.7955801104972375,0.9164345403899722,0.907563025210084,0.8225352112676056,0.8697829716193656,0.05042819986262765,108,0.9790648988136776,0.9414634146341463,0.9666203059805285,0.9416666666666667,0.9299583911234397,0.9517547354436917,0.018163651901877794
21,0.28626527786254885,0.025354772677928974,0.0009999752044677734,4.1019083342755444e-07,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 40}",0.8791208791208791,0.850828729281768,0.8440111420612814,0.9215686274509803,0.8676056338028169,0.8725653867557039,0.02736217235892413,103,0.9637124912770412,0.9679442508710802,0.9478442280945758,0.9444444444444444,0.9528432732316228,0.9553577375837529,0.009056462322277333
22,0.2686607360839844,0.0520485978398245,0.0010001182556152344,3.504023183989303e-07,0.1,"(50,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 45}",0.9368131868131868,0.8038674033149171,0.9052924791086351,0.9355742296918768,0.8647887323943662,0.889259877573734,0.05022717438861331,55,0.9560362875087229,0.956794425087108,0.9534075104311543,0.975,0.9798890429958391,0.964225453204565,0.010961290100362328
23,0.29146614074707033,0.08847061613026738,0.0012003421783447266,0.0003996372649613014,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 50}",0.9065934065934066,0.8535911602209945,0.8941504178272981,0.9103641456582633,0.8760563380281691,0.8881469115191987,0.021062147853248597,56,0.9825540823447313,0.9533101045296167,0.9471488178025035,0.9638888888888889,0.9604715672676838,0.9614746921666848,0.012025526709766123
24,0.25305752754211425,0.065741278696074,0.0010000705718994141,1.9073486328124998e-07,0.1,"(50,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 55}",0.9038461538461539,0.8535911602209945,0.9192200557103064,0.938375350140056,0.8366197183098592,0.8903728436282693,0.03878310575542116,51,0.9497557571528262,0.9686411149825784,0.9791376912378303,0.9763888888888889,0.9445214979195562,0.9636889900363361,0.014042799391818264
25,0.2772629737854004,0.01879148888124364,0.0010000228881835937,1.1680077279964343e-07,0.1,"(50,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 60}",0.9010989010989011,0.8812154696132597,0.9164345403899722,0.9243697478991597,0.8619718309859155,0.8970506399554814,0.02280916494115483,28,0.9720865317515701,0.975609756097561,0.9707927677329624,0.9770833333333333,0.9736477115117892,0.9738440200854432,0.002282473097355385
26,0.16323719024658204,0.0321967103615209,0.000800323486328125,0.00040016177157428304,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 2}",0.33516483516483514,0.32320441988950277,0.28133704735376047,0.4005602240896359,0.2676056338028169,0.32164718976071227,0.04664981236884673,260,0.3712491277041172,0.375609756097561,0.3463143254520167,0.34375,0.3522884882108183,0.3578423394929027,0.013097766734198987
27,0.2180492877960205,0.02105709572198575,0.0012002944946289062,0.00039989957867441947,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 5}",0.5357142857142857,0.49171270718232046,0.49025069637883006,0.49299719887955185,0.4732394366197183,0.4969393433500278,0.020809559930545087,239,0.5324494068387997,0.5337979094076655,0.5333796940194715,0.5513888888888889,0.5603328710124826,0.5422697540334616,0.011460186324392356
