,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.6317431926727295,0.06749422144612492,0.07221813201904297,0.0024004834536609527,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.9258241758241759,0.9226519337016574,0.9526462395543176,0.9719887955182073,0.8816901408450705,0.9309961046188091,0.03044970070600952,8,0.9867411025819958,0.9979094076655052,0.9895688456189151,0.9881944444444445,0.9826629680998613,0.9890153536821444,0.005012174422584918
11,0.575130558013916,0.03700065774889085,0.07501711845397949,0.003522421696813682,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.9505494505494505,0.8535911602209945,0.9052924791086351,0.9551820728291317,0.8760563380281691,0.9081803005008348,0.04010414692215505,87,0.9909281228192603,0.975609756097561,0.9659248956884562,0.9756944444444444,0.9805825242718447,0.9777479486643132,0.008128039595535987
12,0.6701539516448974,0.08190442788007088,0.07801604270935059,0.004145343707866715,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.945054945054945,0.8950276243093923,0.9442896935933147,0.957983193277311,0.8985915492957747,0.9282136894824707,0.02608342180376962,19,0.994417306350314,0.9832752613240419,0.9986091794158554,0.9743055555555555,0.9916782246879334,0.98845710546674,0.008672739851811133
13,0.414296293258667,0.03077014230801784,0.07521500587463378,0.003058510133481661,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.3434065934065934,0.30662983425414364,0.3732590529247911,0.3333333333333333,0.3408450704225352,0.3394546466332777,0.02136200699943839,253,0.3572923935799023,0.3191637630662021,0.3866481223922114,0.35625,0.3654646324549237,0.3569637822986479,0.021830636384160225
14,0.5193174839019775,0.04614695279497156,0.07681746482849121,0.0066167782810733575,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.7335164835164835,0.5441988950276243,0.6462395543175488,0.6414565826330533,0.6929577464788732,0.6516416249304396,0.06361612880645284,236,0.7173761339846476,0.6508710801393728,0.7009735744089013,0.7125,0.7295423023578363,0.7022526181781517,0.02727693102742005
15,0.5249171257019043,0.0381806844603505,0.07781786918640136,0.004262171248905064,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.8214285714285714,0.7513812154696132,0.7715877437325905,0.8067226890756303,0.7915492957746478,0.7885364496382861,0.02494262651749539,213,0.8562456385205862,0.8578397212543554,0.8303198887343533,0.8583333333333333,0.8737864077669902,0.8553049979219237,0.01401640919385534
16,0.6031367301940918,0.061859226943193374,0.07541933059692382,0.00742036999433399,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 15}",0.8598901098901099,0.8066298342541437,0.8635097493036211,0.9243697478991597,0.8647887323943662,0.8636616583194212,0.037289958769555945,186,0.9141660851360781,0.9066202090592335,0.9235048678720446,0.9583333333333334,0.9625520110957004,0.933035301299278,0.023047169717676248
17,0.5135183811187745,0.023365390863893193,0.0750195026397705,0.004146679079225656,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 20}",0.8956043956043956,0.8066298342541437,0.9108635097493036,0.8991596638655462,0.8732394366197183,0.8770172509738453,0.03737790120983978,173,0.9378925331472435,0.8905923344947735,0.9443671766342142,0.9298611111111111,0.9507628294036061,0.9306951969581897,0.02121494673763851
18,0.5121165752410889,0.043996144169759104,0.07361669540405273,0.002871657591668878,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 25}",0.9010989010989011,0.8314917127071824,0.9387186629526463,0.9411764705882353,0.8535211267605634,0.8931552587646077,0.04429400251113153,142,0.9525471039776692,0.9623693379790941,0.9506258692628651,0.9548611111111112,0.9174757281553398,0.9475758300972158,0.01556891540679964
19,0.5825342178344727,0.05142449129519122,0.07641782760620117,0.0042709907877212265,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 30}",0.9230769230769231,0.8756906077348067,0.947075208913649,0.9411764705882353,0.8788732394366198,0.9131886477462438,0.03034318368537056,64,0.9699930216329379,0.9742160278745644,0.9638386648122392,0.9736111111111111,0.9729542302357836,0.9709226111333272,0.0038274935469249653
