,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
10,0.20304608345031738,0.013143150956264255,0.0010004043579101562,0.0,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5296052631578947,0.47854785478547857,0.5115511551155115,0.5065934065934066,0.02114198249458692,50,0.5115511551155115,0.5041186161449753,0.5098846787479407,0.5085181500028092,0.00318446327194897
11,0.24805625279744467,0.012030402325226995,0.0010002454121907551,4.899036091938795e-07,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5,0.5,0.4900990099009901,0.4967032967032967,0.00466608766243609,157,0.5115511551155115,0.5,0.5230642504118617,0.5115384685091243,0.009415945074809766
12,0.27506248156229657,0.02031888406558526,0.0006666183471679688,0.00047137035374583886,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.5032894736842105,0.4933993399339934,0.5,0.4989010989010989,0.0041126837735514865,132,0.4991749174917492,0.5098846787479407,0.5,0.50301986541323,0.004865828937716054
13,0.29306626319885254,0.005716619156723881,0.0013337135314941406,0.0004715389511856095,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.5180921052631579,0.5099009900990099,0.5148514851485149,0.5142857142857142,0.0033687227661528996,17,0.5165016501650165,0.49670510708401977,0.5205930807248764,0.5112666126579709,0.010431140380025447
14,0.31740546226501465,0.009535801425768932,0.0006666978200276693,0.00047142655959197545,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.5032894736842105,0.4966996699669967,0.5148514851485149,0.5049450549450549,0.007498625488171143,67,0.5024752475247525,0.49835255354200986,0.514003294892916,0.5049436986532262,0.00662351188008736
15,0.343077818552653,0.013493712572270264,0.0003333091735839844,0.00047137035374583886,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.49506578947368424,0.5247524752475248,0.5,0.5065934065934066,0.012987078979647163,50,0.49422442244224424,0.5362438220757826,0.5,0.510156081506009,0.018596899025702704
16,0.36675000190734863,0.01190021642079157,0.0010000864664713542,2.9736021254650284e-07,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5,0.5,0.4966996699669967,0.4989010989010989,0.0015553625541453546,132,0.49587458745874585,0.5,0.49670510708401977,0.49752656484758856,0.0017815446110757945
17,0.3954232533772786,0.01943509705055251,0.0010001659393310547,1.9466795466607238e-07,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.5197368421052632,0.5,0.5429042904290429,0.5208791208791209,0.01752466179090307,3,0.5247524752475248,0.49917627677100496,0.5189456342668863,0.5142914620951388,0.010947799507383095
18,0.15736889839172363,0.02398237501615179,0.0006668567657470703,0.0004715389511856095,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 2}",0.49506578947368424,0.5033003300330033,0.5066006600660066,0.5016483516483516,0.004852827258182702,108,0.49504950495049505,0.5016474464579901,0.5197693574958814,0.5054887696347888,0.010450984013570818
19,0.2007122834523519,0.02164330706109329,0.0010003248850504558,4.052336624139774e-07,0.1,"(25,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.506578947368421,0.5,0.523102310231023,0.5098901098901099,0.009713651735947126,29,0.49174917491749176,0.5,0.4901153212520593,0.493954832056517,0.004326307975529667
20,0.2603925863901774,0.013024643918946586,0.0006669362386067709,0.00047159517711601586,0.1,"(25,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.4720394736842105,0.5115511551155115,0.5247524752475248,0.5027472527472527,0.02240655685718561,93,0.5057755775577558,0.5107084019769358,0.5370675453047776,0.5178505082798232,0.01373691069591874
